Day Index,Pageviews
9/1/12,0
9/2/12,21
9/3/12,16
9/4/12,5
9/5/12,9
9/6/12,13
9/7/12,11
9/8/12,11
9/9/12,22
9/10/12,16
9/11/12,34
9/12/12,10
9/13/12,43
9/14/12,21
9/15/12,9
9/16/12,9
9/17/12,17
9/18/12,16
9/19/12,35
9/20/12,47
9/21/12,5
9/22/12,146
9/23/12,13
9/24/12,205
9/25/12,186
9/26/12,298
9/27/12,179
9/28/12,181
9/29/12,125
9/30/12,221
10/1/12,228
10/2/12,147
10/3/12,256
10/4/12,266
10/5/12,635
10/6/12,353
10/7/12,175
10/8/12,333
10/9/12,245
10/10/12,87
10/11/12,197
10/12/12,101
10/13/12,37
10/14/12,48
10/15/12,49
10/16/12,30
10/17/12,36
10/18/12,24
10/19/12,177
10/20/12,57
10/21/12,12
10/22/12,25
10/23/12,80
10/24/12,153
10/25/12,175
10/26/12,50
10/27/12,68
10/28/12,206
10/29/12,52
10/30/12,68
10/31/12,93
11/1/12,39
11/2/12,59
11/3/12,42
11/4/12,163
11/5/12,229
11/6/12,99
11/7/12,300
11/8/12,249
11/9/12,68
11/10/12,17
11/11/12,55
11/12/12,329
11/13/12,21
11/14/12,127
11/15/12,253
11/16/12,478
11/17/12,171
11/18/12,473
11/19/12,253
11/20/12,388
11/21/12,275
11/22/12,407
11/23/12,657
11/24/12,770
11/25/12,460
11/26/12,1084
11/27/12,1580
11/28/12,2130
11/29/12,2913
11/30/12,2395
12/1/12,5876
12/2/12,9856
12/3/12,19662
12/4/12,32428
12/5/12,14256
12/6/12,275
12/7/12,205
12/8/12,188
12/9/12,135
12/10/12,279
12/11/12,320
12/12/12,498
12/13/12,4465
12/14/12,3502
12/15/12,75
12/16/12,62
12/17/12,61
12/18/12,55
12/19/12,117
12/20/12,154
12/21/12,60
12/22/12,37
12/23/12,31
12/24/12,9
12/25/12,46
12/26/12,34
12/27/12,78
12/28/12,30
12/29/12,37
12/30/12,21
12/31/12,72
,115795

